input_prompt,response,category,context
What should I do when fearful?,[Response Placeholder],Relationship Issues,Emotional Exhaustion
How do I stop nervous?,[Response Placeholder],Self-Esteem,Feeling Unsupported
What are some ways to manage guilty?,[Response Placeholder],Burnout,Work Stress
What should I do when insecure?,[Response Placeholder],Social Anxiety,Regret
What can I do when unloved affects me?,[Response Placeholder],Grief,Regret
How can I get over lonely?,[Response Placeholder],Anxiety,Future Uncertainty
How can I cope with sad?,[Response Placeholder],Stress,Fear of Rejection
How do I stop sad?,[Response Placeholder],Stress,Feeling Unsupported
How do I deal with worried?,[Response Placeholder],Social Anxiety,Fear of Rejection
How do I deal with sad?,[Response Placeholder],Sadness,Work Stress
What are some ways to manage nervous?,[Response Placeholder],Grief,Trouble Concentrating
How do I stop worthless?,[Response Placeholder],Fear,Social Isolation
How can I cope with sad?,[Response Placeholder],Fear,Emotional Exhaustion
I'm struggling with unloved. Can you help?,[Response Placeholder],Sleep Problems,Future Uncertainty
I can't stop feeling stressed. What should I do?,[Response Placeholder],Grief,Insomnia
I'm struggling with guilty. Can you help?,[Response Placeholder],Stress,Trouble Concentrating
How can I get over overwhelmed?,[Response Placeholder],Self-Esteem,Body Image Issues
Why does overwhelmed feel so overwhelming?,[Response Placeholder],Anger,Decision-Making
I'm struggling with overwhelmed. Can you help?,[Response Placeholder],Grief,Procrastination
Can you help me with guilty?,[Response Placeholder],Fear,Perfectionism
I can't stop feeling lonely. What should I do?,[Response Placeholder],Stress,Social Isolation
How can I cope with sad?,[Response Placeholder],Social Anxiety,Perfectionism
I'm struggling with nervous. Can you help?,[Response Placeholder],Guilt,Social Isolation
Can you help me with guilty?,[Response Placeholder],Anxiety,Overthinking
Why do I feel guilty?,[Response Placeholder],Depression,Social Isolation
Why do I feel hopeless?,[Response Placeholder],Stress,Procrastination
Why do I feel nervous?,[Response Placeholder],Loneliness,Feeling Unsupported
How can I handle angry in my life?,[Response Placeholder],Panic Attacks,Future Uncertainty
What should I do when worthless?,[Response Placeholder],Panic Attacks,Regret
I'm struggling with worried. Can you help?,[Response Placeholder],Panic Attacks,Self-Worth
Can you help me with hopeless?,[Response Placeholder],Depression,Self-Worth
What can I do when I'm feeling upset?,[Response Placeholder],Self-Esteem,Social Isolation
How do I stop anxious?,[Response Placeholder],Sadness,Body Image Issues
How do I stop worried?,[Response Placeholder],Guilt,Emotional Exhaustion
Why do I always feel sad?,[Response Placeholder],Panic Attacks,Feeling Unsupported
Can you help me with angry?,[Response Placeholder],Grief,Overthinking
How can I handle guilty in my life?,[Response Placeholder],Sleep Problems,Overthinking
What can I do when I'm feeling insecure?,[Response Placeholder],Sadness,Body Image Issues
How can I cope with fearful?,[Response Placeholder],Loneliness,Procrastination
What are some ways to manage sad?,[Response Placeholder],Grief,Body Image Issues
How can I get over worthless?,[Response Placeholder],Stress,Decision-Making
What should I do when guilty?,[Response Placeholder],Self-Esteem,Overthinking
What are some ways to manage nervous?,[Response Placeholder],Burnout,Procrastination
What are some ways to manage stressed?,[Response Placeholder],Grief,Insomnia
How can I cope with insecure?,[Response Placeholder],Anger,Work Stress
What are some ways to manage fearful?,[Response Placeholder],Anxiety,Overthinking
Why do I always feel unloved?,[Response Placeholder],Social Anxiety,Regret
How can I cope with unloved?,[Response Placeholder],Anxiety,Body Image Issues
How can I handle nervous in my life?,[Response Placeholder],Relationship Issues,Body Image Issues
How can I handle sad in my life?,[Response Placeholder],Relationship Issues,Perfectionism
What can I do when I'm feeling angry?,[Response Placeholder],Stress,Fear of Rejection
I'm struggling with overwhelmed. Can you help?,[Response Placeholder],Self-Esteem,Work Stress
Why do I always feel nervous?,[Response Placeholder],Burnout,Self-Worth
What are some ways to manage insecure?,[Response Placeholder],Anger,Body Image Issues
What can I do when I'm feeling unloved?,[Response Placeholder],Fear,Regret
I can't stop feeling guilty. What should I do?,[Response Placeholder],Anger,Insomnia
How can I handle worried in my life?,[Response Placeholder],Grief,Procrastination
Can you help me with nervous?,[Response Placeholder],Burnout,Emotional Exhaustion
How do I stop lonely?,[Response Placeholder],Sleep Problems,Self-Worth
What are some ways to manage fearful?,[Response Placeholder],Anger,Fear of Rejection
Why do I always feel hopeless?,[Response Placeholder],Guilt,Work Stress
Why do I always feel fearful?,[Response Placeholder],Grief,Work Stress
How do I stop guilty?,[Response Placeholder],Guilt,Work Stress
Can you help me with sad?,[Response Placeholder],Loneliness,Feeling Unsupported
How can I get over angry?,[Response Placeholder],Guilt,Work Stress
What can I do when I'm feeling sad?,[Response Placeholder],Depression,Future Uncertainty
How do I deal with unloved?,[Response Placeholder],Panic Attacks,Body Image Issues
Can you help me with lonely?,[Response Placeholder],Anxiety,Perfectionism
What are some ways to manage worried?,[Response Placeholder],Grief,Feeling Unsupported
What can I do when stressed affects me?,[Response Placeholder],Relationship Issues,Regret
What are some ways to manage fearful?,[Response Placeholder],Sleep Problems,Overthinking
What can I do when I'm feeling stressed?,[Response Placeholder],Grief,Body Image Issues
How can I get over overwhelmed?,[Response Placeholder],Anger,Trouble Concentrating
Why do I always feel angry?,[Response Placeholder],Sleep Problems,Insomnia
How can I get over anxious?,[Response Placeholder],Sleep Problems,Feeling Unsupported
What should I do when stressed?,[Response Placeholder],Sadness,Future Uncertainty
How do I deal with stressed?,[Response Placeholder],Self-Esteem,Overthinking
What should I do when worried?,[Response Placeholder],Panic Attacks,Procrastination
Why does hopeless feel so overwhelming?,[Response Placeholder],Sleep Problems,Decision-Making
Can you help me with guilty?,[Response Placeholder],Fear,Insomnia
How can I cope with unloved?,[Response Placeholder],Self-Esteem,Social Isolation
Why do I feel hopeless?,[Response Placeholder],Stress,Trouble Concentrating
How do I stop worthless?,[Response Placeholder],Anger,Trouble Concentrating
What are some ways to manage worried?,[Response Placeholder],Loneliness,Emotional Exhaustion
How can I get over guilty?,[Response Placeholder],Sleep Problems,Social Isolation
I'm struggling with sad. Can you help?,[Response Placeholder],Anxiety,Procrastination
How do I deal with nervous?,[Response Placeholder],Sadness,Overthinking
How do I stop lonely?,[Response Placeholder],Anger,Decision-Making
Why do I feel anxious?,[Response Placeholder],Anxiety,Feeling Unsupported
How can I cope with anxious?,[Response Placeholder],Loneliness,Decision-Making
How do I deal with angry?,[Response Placeholder],Anger,Overthinking
I can't stop feeling fearful. What should I do?,[Response Placeholder],Loneliness,Regret
I can't stop feeling worthless. What should I do?,[Response Placeholder],Burnout,Fear of Rejection
How can I cope with angry?,[Response Placeholder],Anxiety,Procrastination
What are some ways to manage angry?,[Response Placeholder],Relationship Issues,Emotional Exhaustion
How do I stop unloved?,[Response Placeholder],Self-Esteem,Body Image Issues
How can I cope with lonely?,[Response Placeholder],Relationship Issues,Body Image Issues
What can I do when angry affects me?,[Response Placeholder],Loneliness,Insomnia
What can I do when lonely affects me?,[Response Placeholder],Self-Esteem,Future Uncertainty
I can't stop feeling stressed. What should I do?,[Response Placeholder],Sleep Problems,Perfectionism
What can I do when angry affects me?,[Response Placeholder],Stress,Future Uncertainty
Can you help me with lonely?,[Response Placeholder],Sadness,Self-Worth
What are some ways to manage worthless?,[Response Placeholder],Stress,Trouble Concentrating
How can I cope with lonely?,[Response Placeholder],Guilt,Regret
What can I do when I'm feeling stressed?,[Response Placeholder],Depression,Emotional Exhaustion
What can I do when sad affects me?,[Response Placeholder],Anger,Work Stress
I can't stop feeling angry. What should I do?,[Response Placeholder],Burnout,Procrastination
How do I deal with insecure?,[Response Placeholder],Loneliness,Future Uncertainty
What can I do when I'm feeling sad?,[Response Placeholder],Guilt,Body Image Issues
Why does fearful feel so overwhelming?,[Response Placeholder],Anger,Regret
Why does angry feel so overwhelming?,[Response Placeholder],Social Anxiety,Body Image Issues
What can I do when I'm feeling nervous?,[Response Placeholder],Anxiety,Insomnia
What should I do when worried?,[Response Placeholder],Sleep Problems,Trouble Concentrating
I'm struggling with upset. Can you help?,[Response Placeholder],Loneliness,Body Image Issues
Why do I always feel worthless?,[Response Placeholder],Social Anxiety,Fear of Rejection
What are some ways to manage hopeless?,[Response Placeholder],Grief,Emotional Exhaustion
How can I handle guilty in my life?,[Response Placeholder],Guilt,Body Image Issues
Why does hopeless feel so overwhelming?,[Response Placeholder],Burnout,Body Image Issues
How can I cope with worried?,[Response Placeholder],Social Anxiety,Overthinking
Why do I feel upset?,[Response Placeholder],Grief,Social Isolation
How can I cope with overwhelmed?,[Response Placeholder],Sleep Problems,Decision-Making
What can I do when I'm feeling lonely?,[Response Placeholder],Sleep Problems,Feeling Unsupported
What are some ways to manage overwhelmed?,[Response Placeholder],Self-Esteem,Overthinking
Why do I feel anxious?,[Response Placeholder],Sleep Problems,Procrastination
Why do I always feel hopeless?,[Response Placeholder],Social Anxiety,Work Stress
Why do I feel fearful?,[Response Placeholder],Guilt,Overthinking
Can you help me with angry?,[Response Placeholder],Anxiety,Fear of Rejection
I can't stop feeling worried. What should I do?,[Response Placeholder],Burnout,Regret
How can I cope with nervous?,[Response Placeholder],Sleep Problems,Social Isolation
How can I cope with worried?,[Response Placeholder],Panic Attacks,Fear of Rejection
I can't stop feeling worthless. What should I do?,[Response Placeholder],Sleep Problems,Procrastination
Why do I always feel guilty?,[Response Placeholder],Depression,Overthinking
How do I stop lonely?,[Response Placeholder],Anger,Work Stress
How can I handle lonely in my life?,[Response Placeholder],Panic Attacks,Overthinking
Why does unloved feel so overwhelming?,[Response Placeholder],Loneliness,Body Image Issues
What can I do when unloved affects me?,[Response Placeholder],Sadness,Perfectionism
Why do I feel hopeless?,[Response Placeholder],Sadness,Regret
Why do I feel lonely?,[Response Placeholder],Social Anxiety,Regret
Why does upset feel so overwhelming?,[Response Placeholder],Stress,Work Stress
How do I stop upset?,[Response Placeholder],Guilt,Insomnia
I'm struggling with anxious. Can you help?,[Response Placeholder],Stress,Emotional Exhaustion
Why do I always feel stressed?,[Response Placeholder],Burnout,Fear of Rejection
Why does anxious feel so overwhelming?,[Response Placeholder],Anxiety,Procrastination
How do I deal with lonely?,[Response Placeholder],Anxiety,Regret
I can't stop feeling guilty. What should I do?,[Response Placeholder],Self-Esteem,Body Image Issues
Why do I feel sad?,[Response Placeholder],Social Anxiety,Fear of Rejection
How do I stop overwhelmed?,[Response Placeholder],Sleep Problems,Overthinking
Can you help me with anxious?,[Response Placeholder],Panic Attacks,Self-Worth
How can I get over angry?,[Response Placeholder],Loneliness,Work Stress
Why do I always feel worried?,[Response Placeholder],Depression,Perfectionism
What can I do when unloved affects me?,[Response Placeholder],Grief,Work Stress
How can I cope with stressed?,[Response Placeholder],Social Anxiety,Social Isolation
What are some ways to manage sad?,[Response Placeholder],Depression,Trouble Concentrating
Why does nervous feel so overwhelming?,[Response Placeholder],Sleep Problems,Overthinking
Why do I feel worthless?,[Response Placeholder],Burnout,Overthinking
I can't stop feeling overwhelmed. What should I do?,[Response Placeholder],Anger,Emotional Exhaustion
What are some ways to manage worried?,[Response Placeholder],Guilt,Fear of Rejection
Can you help me with fearful?,[Response Placeholder],Self-Esteem,Fear of Rejection
How can I handle overwhelmed in my life?,[Response Placeholder],Anger,Emotional Exhaustion
Why do I feel fearful?,[Response Placeholder],Panic Attacks,Trouble Concentrating
How do I deal with fearful?,[Response Placeholder],Sadness,Procrastination
What should I do when anxious?,[Response Placeholder],Sadness,Overthinking
How do I stop lonely?,[Response Placeholder],Stress,Regret
What can I do when hopeless affects me?,[Response Placeholder],Sadness,Self-Worth
Can you help me with sad?,[Response Placeholder],Self-Esteem,Emotional Exhaustion
Why does sad feel so overwhelming?,[Response Placeholder],Sleep Problems,Procrastination
How can I get over sad?,[Response Placeholder],Social Anxiety,Fear of Rejection
How can I handle lonely in my life?,[Response Placeholder],Guilt,Social Isolation
Why do I always feel overwhelmed?,[Response Placeholder],Anxiety,Self-Worth
How do I stop insecure?,[Response Placeholder],Self-Esteem,Body Image Issues
Why do I always feel stressed?,[Response Placeholder],Sadness,Fear of Rejection
What can I do when worthless affects me?,[Response Placeholder],Loneliness,Perfectionism
I can't stop feeling unloved. What should I do?,[Response Placeholder],Anxiety,Regret
Why do I feel worried?,[Response Placeholder],Depression,Future Uncertainty
How can I get over angry?,[Response Placeholder],Stress,Procrastination
Can you help me with overwhelmed?,[Response Placeholder],Anxiety,Emotional Exhaustion
I can't stop feeling unloved. What should I do?,[Response Placeholder],Loneliness,Body Image Issues
Why does stressed feel so overwhelming?,[Response Placeholder],Panic Attacks,Body Image Issues
What can I do when I'm feeling guilty?,[Response Placeholder],Fear,Feeling Unsupported
How can I handle stressed in my life?,[Response Placeholder],Stress,Emotional Exhaustion
What can I do when I'm feeling upset?,[Response Placeholder],Fear,Future Uncertainty
I'm struggling with fearful. Can you help?,[Response Placeholder],Sleep Problems,Decision-Making
Why do I feel stressed?,[Response Placeholder],Loneliness,Perfectionism
How can I cope with stressed?,[Response Placeholder],Sleep Problems,Emotional Exhaustion
Why do I always feel upset?,[Response Placeholder],Sleep Problems,Perfectionism
Why does sad feel so overwhelming?,[Response Placeholder],Relationship Issues,Overthinking
How can I get over nervous?,[Response Placeholder],Anger,Regret
What should I do when angry?,[Response Placeholder],Anger,Social Isolation
Can you help me with unloved?,[Response Placeholder],Self-Esteem,Body Image Issues
What are some ways to manage upset?,[Response Placeholder],Self-Esteem,Regret
What are some ways to manage fearful?,[Response Placeholder],Panic Attacks,Perfectionism
Why does upset feel so overwhelming?,[Response Placeholder],Panic Attacks,Perfectionism
How can I get over worthless?,[Response Placeholder],Guilt,Procrastination
I can't stop feeling upset. What should I do?,[Response Placeholder],Anger,Feeling Unsupported
Why do I feel anxious?,[Response Placeholder],Guilt,Emotional Exhaustion
Why does insecure feel so overwhelming?,[Response Placeholder],Depression,Trouble Concentrating
What can I do when I'm feeling worried?,[Response Placeholder],Grief,Social Isolation
How do I stop anxious?,[Response Placeholder],Loneliness,Fear of Rejection
What can I do when sad affects me?,[Response Placeholder],Burnout,Feeling Unsupported
What should I do when unloved?,[Response Placeholder],Self-Esteem,Feeling Unsupported
How can I cope with stressed?,[Response Placeholder],Depression,Regret
How do I deal with worried?,[Response Placeholder],Social Anxiety,Work Stress
What can I do when I'm feeling worried?,[Response Placeholder],Sadness,Work Stress
How do I stop worthless?,[Response Placeholder],Depression,Social Isolation
I can't stop feeling overwhelmed. What should I do?,[Response Placeholder],Relationship Issues,Trouble Concentrating
